user_id,age,gender,zone,zone_type,profession,education_level,monthly_income_range,household_size,smartphone_owner,years_using_mm,activity_segment,total_transactions,avg_transaction_amount,max_transaction_amount,std_transaction_amount,total_fees_paid,weekend_transactions,send_receive_ratio,weekend_ratio,active_months,tx_per_month,days_since_last_tx,avg_monthly_amount,tx_type_diversity,education_encoded,income_encoded,zone_encoded,activity_label,gender_encoded,smartphone_encoded,primary_mm_use_Both,primary_mm_use_Business,primary_mm_use_Personal,mm_provider_Both,mm_provider_MTN Mobile Money,mm_provider_Orange Money
USER_001,35,Female,Bamenda - Nord-Ouest,suburban,Teacher,Secondary,"100,000-200,000 XAF",7,No,1.9,Medium,43,26516.279069767443,85700.0,22399.47841901849,15106.0,11,0.742,0.256,11.9,3.61,6,95724.0,8,2,2,1,1,0,0,False,False,True,True,False,False
USER_002,27,Male,Douala - Littoral,urban,Healthcare Worker,No formal education,"50,000-100,000 XAF",1,No,1.1,Medium,31,23170.967741935485,51200.0,15810.19067033216,8669.0,14,1.066,0.452,10.7,2.9,22,67196.0,7,0,1,2,1,1,0,False,False,True,False,True,False
USER_003,45,Male,Maroua - Extrême-Nord,rural,Driver/Transport,No formal education,"100,000-200,000 XAF",3,Yes,1.3,Medium,38,39057.89473684211,86900.0,26610.165011411827,20671.0,8,1.034,0.211,11.0,3.45,6,134750.0,8,0,2,0,1,1,1,False,False,True,False,True,False
USER_004,40,Male,Ngaoundéré - Adamaoua,rural,Farmer,Secondary,"100,000-200,000 XAF",1,Yes,3.4,Medium,44,29745.454545454544,94200.0,24716.16037149609,17150.0,13,1.136,0.295,11.6,3.79,16,112735.0,8,2,2,0,1,1,1,False,True,False,True,False,False
USER_005,36,Female,Bamenda - Nord-Ouest,suburban,Self-Employed,Vocational,"100,000-200,000 XAF",5,No,2.3,High,85,28140.0,92600.0,25122.642983495793,30882.0,23,0.697,0.271,12.1,7.02,3,197543.0,8,3,2,1,2,0,0,False,True,False,False,False,True
USER_006,32,Male,Yaoundé - Centre,urban,Driver/Transport,University,"50,000-100,000 XAF",6,Yes,1.3,High,67,22537.31343283582,68800.0,17144.341197527574,18822.0,27,1.268,0.403,11.8,5.68,9,128012.0,8,4,1,2,2,1,1,True,False,False,False,True,False
USER_007,57,Female,Douala - Littoral,urban,IT Professional,Secondary,"100,000-200,000 XAF",6,Yes,5.1,High,92,33540.217391304344,98200.0,26689.488649051073,39683.0,26,1.31,0.283,12.0,7.67,4,257253.0,8,2,2,2,2,0,1,True,False,False,False,True,False
USER_008,52,Female,Kribi - Sud,suburban,IT Professional,No formal education,"200,000-500,000 XAF",4,No,4.2,Low,16,54956.25,116900.0,43589.004251837025,14263.0,3,2.843,0.188,11.6,1.38,12,75840.0,7,0,3,1,0,0,0,False,False,True,False,False,True
USER_009,49,Male,Garoua - Nord,suburban,Farmer,University,"100,000-200,000 XAF",5,Yes,3.5,Medium,3,56200.0,73400.0,27402.189693526318,2615.0,2,5.854,0.667,8.1,0.37,16,20794.0,2,4,2,1,1,1,1,False,True,False,False,True,False
USER_010,29,Male,Ngaoundéré - Adamaoua,rural,Unemployed,Primary,"50,000-100,000 XAF",3,Yes,2.5,Medium,62,21350.0,66500.0,18442.67814199392,17136.0,25,1.334,0.403,11.6,5.34,6,114009.0,8,1,1,0,1,1,1,False,True,False,False,True,False
