transaction_id,user_id,transaction_date,transaction_month,day_of_week,is_weekend,transaction_type,amount_xaf,fee_xaf,status,provider,month_num,year,quarter
TX_000001,USER_001,2025-01-22,2025-01-01,Wednesday,0,Receive Money,43700.0,813.0,Success,MTN Mobile Money,1,2025,1
TX_000002,USER_001,2024-04-27,2024-04-01,Saturday,1,Pay Bill,10700.0,171.0,Success,Orange Money,4,2024,2
TX_000003,USER_001,2024-03-13,2024-03-01,Wednesday,0,Deposit Cash,62400.0,811.0,Success,Orange Money,3,2024,1
TX_000004,USER_001,2024-07-19,2024-07-01,Friday,0,Save/Investment,37700.0,588.0,Success,MTN Mobile Money,7,2024,3
TX_000005,USER_001,2024-07-04,2024-07-01,Thursday,0,Send Money,45800.0,753.0,Success,MTN Mobile Money,7,2024,3
TX_000006,USER_001,2024-06-23,2024-06-01,Sunday,1,Receive Money,27100.0,461.0,Success,Orange Money,6,2024,2
TX_000007,USER_001,2024-05-11,2024-05-01,Saturday,1,Receive Money,63900.0,463.0,Success,Orange Money,5,2024,2
TX_000008,USER_001,2024-04-22,2024-04-01,Monday,0,Withdraw Cash,2200.0,31.0,Success,Orange Money,4,2024,2
TX_000009,USER_001,2025-02-10,2025-02-01,Monday,0,Receive Money,28000.0,216.0,Success,Orange Money,2,2025,1
TX_000010,USER_001,2024-12-05,2024-12-01,Thursday,0,Receive Money,34200.0,319.0,Success,Orange Money,12,2024,4
TX_000011,USER_001,2024-04-14,2024-04-01,Sunday,1,Buy Airtime,2600.0,37.0,Success,Orange Money,4,2024,2
TX_000012,USER_001,2024-12-28,2024-12-01,Saturday,1,Buy Airtime,2600.0,11.0,Success,MTN Mobile Money,12,2024,4
TX_000013,USER_001,2024-10-03,2024-10-01,Thursday,0,Withdraw Cash,16100.0,220.0,Success,Orange Money,10,2024,4
TX_000014,USER_001,2024-03-17,2024-03-01,Sunday,1,Send Money,8800.0,155.0,Success,MTN Mobile Money,3,2024,1
TX_000015,USER_001,2024-03-16,2024-03-01,Saturday,1,Send Money,78800.0,1386.0,Success,MTN Mobile Money,3,2024,1
TX_000016,USER_001,2024-04-17,2024-04-01,Wednesday,0,Receive Money,25300.0,213.0,Success,MTN Mobile Money,4,2024,2
TX_000017,USER_001,2024-06-20,2024-06-01,Thursday,0,Send Money,27100.0,462.0,Success,MTN Mobile Money,6,2024,2
TX_000018,USER_001,2024-06-28,2024-06-01,Friday,0,Send Money,33500.0,601.0,Failed,MTN Mobile Money,6,2024,2
TX_000019,USER_001,2024-11-14,2024-11-01,Thursday,0,Receive Money,59100.0,696.0,Success,Orange Money,11,2024,4
TX_000020,USER_001,2025-01-03,2025-01-01,Friday,0,Merchant Payment,12600.0,172.0,Success,MTN Mobile Money,1,2025,1
TX_000021,USER_001,2024-03-14,2024-03-01,Thursday,0,Merchant Payment,18200.0,250.0,Success,Orange Money,3,2024,1
