user_id,total_transactions,total_amount_sent,total_amount_received,avg_transaction_amount,max_transaction_amount,std_transaction_amount,total_fees_paid,weekend_transactions,first_tx_date,last_tx_date,send_receive_ratio,weekend_ratio,active_months,tx_per_month,days_since_last_tx,avg_monthly_amount,tx_type_diversity,most_common_tx_type
USER_001,43,459500.0,619200.0,26516.279069767443,85700.0,22399.47841901849,15106.0,11,2024-03-04,2025-02-23,0.742,0.256,11.9,3.61,6,95724.0,8,Receive Money
USER_002,31,370700.0,347600.0,23170.967741935485,51200.0,15810.19067033216,8669.0,14,2024-03-23,2025-02-07,1.066,0.452,10.7,2.9,22,67196.0,7,Receive Money
USER_003,38,714800.0,691000.0,39057.89473684211,86900.0,26610.165011411827,20671.0,8,2024-03-29,2025-02-23,1.034,0.211,11.0,3.45,6,134750.0,8,Receive Money
USER_004,44,687900.0,605400.0,29745.454545454544,94200.0,24716.16037149609,17150.0,13,2024-03-02,2025-02-13,1.136,0.295,11.6,3.79,16,112735.0,8,Receive Money
USER_005,85,951800.0,1366000.0,28140.0,92600.0,25122.642983495793,30882.0,23,2024-03-01,2025-02-26,0.697,0.271,12.1,7.02,3,197543.0,8,Receive Money
USER_006,67,816200.0,643900.0,22537.31343283582,68800.0,17144.341197527574,18822.0,27,2024-03-02,2025-02-20,1.268,0.403,11.8,5.68,9,128012.0,8,Receive Money
USER_007,92,1685300.0,1286500.0,33540.217391304344,98200.0,26689.488649051073,39683.0,26,2024-03-02,2025-02-25,1.31,0.283,12.0,7.67,4,257253.0,8,Send Money
USER_008,16,650500.0,228800.0,54956.25,116900.0,43589.004251837025,14263.0,3,2024-03-05,2025-02-17,2.843,0.188,11.6,1.38,12,75840.0,7,Send Money
USER_009,3,144000.0,24600.0,56200.0,73400.0,27402.189693526318,2615.0,2,2024-06-16,2025-02-13,5.854,0.667,8.1,0.37,16,20794.0,2,Send Money
USER_010,62,713700.0,535200.0,21350.0,66500.0,18442.67814199392,17136.0,25,2024-03-13,2025-02-23,1.334,0.403,11.6,5.34,6,114009.0,8,Pay Bill
USER_011,47,754100.0,395100.0,24451.063829787236,66700.0,17166.003717414023,13618.0,11,2024-03-01,2025-02-26,1.909,0.234,12.1,3.88,3,94870.0,7,Send Money
USER_012,35,1495400.0,1072900.0,74394.28571428571,116900.0,44151.39690586807,45856.0,13,2024-03-13,2025-02-20,1.394,0.371,11.5,3.04,9,226159.0,8,Pay Bill
USER_013,61,1318000.0,823700.0,35747.54098360656,90400.0,25789.685318988653,29959.0,15,2024-03-03,2025-02-25,1.6,0.246,12.0,5.08,4,181598.0,8,Receive Money
USER_014,30,1039300.0,294300.0,44453.333333333336,116900.0,36259.08431555186,15698.0,3,2024-03-04,2025-02-20,3.531,0.1,11.8,2.54,9,112911.0,7,Buy Airtime
USER_015,18,719200.0,403300.0,62361.11111111111,116900.0,35251.26846093024,15119.0,5,2024-03-14,2025-02-03,1.783,0.278,10.9,1.65,26,102896.0,7,Receive Money
USER_016,8,257100.0,68800.0,40737.5,85800.0,29724.58998876183,3845.0,4,2024-03-10,2024-12-02,3.737,0.5,8.9,0.9,89,36664.0,6,Receive Money
USER_017,5,45300.0,11500.0,11360.0,23500.0,9922.096552644507,573.0,1,2024-03-16,2024-07-05,3.939,0.2,3.7,1.35,239,15336.0,3,Buy Airtime
USER_018,23,182400.0,45500.0,9908.695652173914,37600.0,9476.425920216116,2963.0,9,2024-03-11,2025-02-22,4.009,0.391,11.6,1.98,7,19619.0,7,Withdraw Cash
USER_019,69,3173200.0,1139800.0,63486.95652173913,116900.0,43682.16728975835,70280.0,16,2024-03-07,2025-02-26,2.784,0.232,11.9,5.8,3,368224.0,8,Send Money
USER_020,40,1669800.0,749900.0,60492.5,116900.0,44927.99588344181,39552.0,9,2024-03-06,2025-02-28,2.227,0.225,12.0,3.33,1,201440.0,7,Send Money
USER_021,30,400900.0,210200.0,21446.666666666668,64000.0,17684.451252214585,8154.0,9,2024-03-07,2025-02-26,1.907,0.3,11.9,2.52,3,54046.0,8,Send Money
USER_022,45,852200.0,608900.0,33482.22222222222,98700.0,28922.076255855063,18394.0,20,2024-03-27,2025-02-15,1.4,0.444,10.8,4.17,14,139621.0,8,Send Money
USER_023,100,2117350.0,1359500.0,35679.5,99400.0,25602.146468370167,46419.0,38,2024-03-02,2025-02-25,1.557,0.38,12.0,8.33,4,297210.0,8,Receive Money
USER_024,80,1788600.0,962200.0,36170.0,98700.0,26632.137243886667,36488.0,24,2024-03-01,2025-02-27,1.859,0.3,12.1,6.61,2,239084.0,8,Send Money
USER_025,38,685300.0,1118600.0,51481.57894736842,116900.0,42166.11842920202,27576.0,12,2024-03-08,2025-02-25,0.613,0.316,11.8,3.22,4,165771.0,8,Pay Bill
